City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Kommunisticheskiy,RU,61.6789,64.4819,-7.98,94,26,6.17,scattered clouds
318,Lompoc,US,34.6391,-120.4579,56.12,69,1,6.91,clear sky
319,Ossora,RU,59.2353,163.0719,14.23,79,99,10.83,overcast clouds
320,Chateauroux,FR,46.8167,1.7,32.95,100,90,5.75,fog
321,Codrington,AU,-38.2667,141.9667,63.48,97,63,16.4,broken clouds
322,Santa Ines,BR,-3.6667,-45.38,71.6,98,100,3.13,overcast clouds
323,Houma,US,29.5958,-90.7195,59.0,97,84,4.0,broken clouds
324,Tibati,CM,6.4667,12.6333,87.33,22,91,3.13,overcast clouds
325,Beringovskiy,RU,63.05,179.3167,2.46,85,38,7.45,scattered clouds
326,Tambopata,PE,-12.7333,-69.1833,72.12,90,100,1.95,moderate rain
327,Garmsar,IR,35.2182,52.3409,49.5,25,0,3.31,clear sky
328,Vao,NC,-22.6667,167.4833,78.04,80,85,20.76,overcast clouds
329,Ixtapa,MX,20.7,-105.2,67.23,88,34,2.66,scattered clouds
330,Dunedin,NZ,-45.8742,170.5036,48.87,76,51,14.43,broken clouds
331,Tura,IN,25.5198,90.2201,72.34,42,6,5.21,clear sky
332,Okhotsk,RU,59.3833,143.3,12.24,90,100,6.78,overcast clouds
333,Mataro,ES,41.5421,2.4445,49.64,60,2,1.99,clear sky
334,San Juan,AR,-31.5375,-68.5364,75.06,36,0,8.61,clear sky
335,Kijang,KR,35.2442,129.2139,42.53,30,0,7.18,clear sky
336,Hasaki,JP,35.7333,140.8333,32.4,96,100,16.82,light snow
337,Beboto,TD,8.2668,16.939,90.05,18,93,6.53,overcast clouds
338,Zhangjiakou,CN,40.81,114.8794,23.7,37,6,0.72,light snow
339,Marsa Matruh,EG,31.3525,27.2453,59.2,67,40,9.22,scattered clouds
340,Touba,CI,8.2833,-7.6833,83.82,19,78,5.46,broken clouds
341,Gimli,CA,50.6336,-96.9907,-12.98,70,100,8.05,overcast clouds
342,Opuwo,NA,-18.0607,13.84,92.86,8,66,2.8,broken clouds
343,Vanimo,PG,-2.6741,141.3028,78.66,88,98,9.98,overcast clouds
